,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__n_estimators,param_tfidf__min_df,param_tfidf__sublinear_tf,params,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted
6,95.9950499534607,2.171347763567987,20.99126809835434,0.734077043019391,balanced,,100,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4984559174128477,0.48658394838331864,0.48649413329243263,0.4902392065707669,0.4904433014148415,0.004866574886864945,1,0.5579012866696234,0.5375576103406939,0.5323016466594916,0.5531211998632748,0.545220435883271,0.010592922854881314,7,0.4869283299993102,0.4712056157568323,0.4760099269267889,0.469496204278813,0.4759100192404361,0.006794880205408274,133
85,113.06708943843842,2.992028696634699,21.565598964691162,1.7238986925136974,balanced_subsample,,200,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.49815454070992404,0.4872076671048902,0.48293156140875904,0.49221624095175853,0.49012750254383297,0.0056811789636170874,2,0.5602420219864168,0.5393233523914883,0.5341683063370557,0.5551703397436247,0.5472260051146465,0.01078754565844947,1,0.4851348554873422,0.47175083486676206,0.46952984971735834,0.471911663216011,0.4745818008218684,0.006165086694605836,137
84,123.89765077829361,7.844806378292112,19.869386196136475,4.344317205328396,balanced_subsample,,200,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.49763589461337,0.4854567301148581,0.48343546659089076,0.4933511653812408,0.4899698141750899,0.005772086956884962,3,0.5586456785379278,0.5378387433099869,0.5340368182240215,0.5559248661122209,0.5466115265460392,0.01080097360344732,2,0.4836862799199834,0.4701833299257139,0.4709085895491521,0.47315389924085577,0.4744830246589263,0.005425183013731837,139
79,73.937713265419,2.7717507806163066,16.293677866458893,4.972253222164343,balanced_subsample,,100,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.4984980815797437,0.4863332221163897,0.48210146998957115,0.4928479446632555,0.48994517958724,0.006247963560307118,4,0.5581303374003111,0.5388172118234206,0.5290684153401725,0.5557653273786081,0.545445322985628,0.01203689165626041,6,0.48713526936607576,0.47066039664690246,0.4702881566248449,0.471911663216011,0.47499887146345854,0.007032712969373655,136
78,81.46618431806564,5.017556226066976,13.442000210285187,3.851408737258768,balanced_subsample,,100,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.49886898191888646,0.4849398177224197,0.4839793382385695,0.4914222138982544,0.4898025879445325,0.005966143211892356,5,0.5569907236384032,0.5361892985629773,0.530092670420057,0.5554375379627182,0.544677557646039,0.01174905007677887,8,0.4876871076774505,0.4702514823144551,0.47366606921273957,0.47004830917874396,0.4754132420958473,0.007230606106070001,134
7,97.21523016691208,1.895374330785381,19.309505224227905,3.0862804656611686,balanced,,100,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.4963512340550801,0.4877206031579584,0.4827151333883692,0.49153364309473146,0.48958015342403477,0.005006248148259089,6,0.558112217608346,0.536985113770192,0.5312796590424725,0.5557443648321666,0.5455303388132943,0.011605308553581658,5,0.4843760778092019,0.4737272541402576,0.4703570936164346,0.4697722567287785,0.47455817057366817,0.005865913047773614,138
12,103.5891962647438,3.6665787615774814,10.511540532112122,0.3518814300966916,balanced,,200,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4947265930923552,0.4850710761271784,0.4846884068411004,0.4927463479980696,0.4893081060146759,0.004485408366838789,7,0.5561794517968256,0.5378856348326662,0.5354053336657801,0.5552681578198349,0.5461846445287767,0.009584799041340481,4,0.48099606815203144,0.4697062632045253,0.47173583344822834,0.47218771566597656,0.4736564701176904,0.004339352452210807,140
0,80.92003345489502,0.9769797630926064,20.403568863868713,0.22770358019760506,balanced,,50,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.497928432809004,0.48463539066177674,0.4832627839431726,0.4903688914508335,0.48904887471619674,0.005778120023752417,8,0.5586501577954495,0.5355246928388155,0.5158617804898402,0.5554359162594585,0.5413681368458909,0.0171849550345313,10,0.4857556735876388,0.4693655012608192,0.4780780366744795,0.46777087646652865,0.47524252199736655,0.0072272290596131095,135
13,152.333562374115,2.7189015884648002,15.69344174861908,2.390329316971779,balanced,,200,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': None, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.49386962582137933,0.4863264031475073,0.48286542591065434,0.4927952726491717,0.4889641818821782,0.00455228892313713,9,0.5565345098406328,0.537989546795057,0.5343648564512606,0.5567087235316182,0.5463994091546421,0.010302408365476096,3,0.4803752500517348,0.4709330062018674,0.469598786708948,0.47163561076604554,0.4731356634321489,0.004243317341797656,141
73,74.243991792202,3.8077878103861176,15.483774960041046,4.318504014046762,balanced_subsample,,50,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': None, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.4939676286701023,0.4879903565833199,0.47801393513181,0.4906276352122362,0.4876498888993671,0.005952905428629968,10,0.5556714754979857,0.5388123531346898,0.5168572791096866,0.5553213956681884,0.5416656258526376,0.015860636075398095,9,0.4816858660412499,0.4739317113064813,0.46766855094443677,0.46825396825396826,0.4728850241365341,0.005639340462652786,142
